GTEX-12BJ1-5007-SM-H8L6U__Prostate	GTEX-13N11-5002-SM-H5JDV__Heart_Left_Ventricle	GTEX-13N11-5030-SM-H5JDW__Lung	GTEX-144GM-5010-SM-HD2M8__Esophagus_Muscularis	GTEX-145ME-5005-SM-H8L6T__Esophagus_Mucosa	GTEX-145ME-5018-SM-G8XQB__Muscle_Skeletal	GTEX-15CHR-5005-SM-H5JDT__Lung	GTEX-15CHR-5014-SM-H5JDU__Prostate	GTEX-15EOM-5003-SM-G64IH__Skin_Sun_Exposed_Lower_leg	GTEX-15RIE-5015-SM-H8L6X__Heart_Left_Ventricle	GTEX-15RIE-5021-SM-H8L6Y__Muscle_Skeletal	GTEX-15SB6-5008-SM-H8L72__Esophagus_Mucosa	GTEX-16BQI-5013-SM-H8SUW__Esophagus_Mucosa	GTEX-1CAMR-5015-SM-HPJ3B__Skin_Sun_Exposed_Lower_leg	GTEX-1CAMS-5015-SM-HPJ3C__Breast_Mammary_Tissue	GTEX-1HSMQ-5005-SM-GKSJF__Lung	GTEX-1HSMQ-5007-SM-GKSJG__Skin_Sun_Exposed_Lower_leg	GTEX-1HSMQ-5011-SM-GKSJH__Muscle_Skeletal	GTEX-1HSMQ-5014-SM-GKSJI__Prostate	GTEX-1HSMQ-5021-SM-HD2MA__Esophagus_Muscularis	GTEX-1I1GU-5006-SM-G8XQC__Prostate	GTEX-1ICG6-5003-SM-GHS9A__Heart_Left_Ventricle	GTEX-1ICG6-5014-SM-GHS9D__Esophagus_Muscularis	GTEX-1MCC2-5013-SM-HPJ3D__Breast_Mammary_Tissue	GTEX-1R9PN-5002-SM-HD2MC__Breast_Mammary_Tissue
ACB	5.38006432407838e-10	0.103011085680224	0.191479664362162	3.49509577201917e-09	3.34567118763213e-09	0.163989612747589	4.21311696710223e-10	1.18549929233326e-08	6.08946346918862e-09	4.3851085194474e-09	5.75203850654525e-09	0.201280253976315	2.15228268899275e-10	NA	9.27711256200712e-09	0.021744752791029	0.241588084168329	0.108910461533935	0.0329895349178778	0.03569405451834	1.76532015124851e-07	9.35807423084595e-10	0.0125584331512368	0.24359811144396	1.76592684533254e-07
ASW	0.0157026287980562	0.0298756097945447	2.48890850195198e-08	4.89459877310677e-08	0.00388845950394819	0.161298691363969	4.2867775520248e-10	1.65105834843877e-08	1.20697021935858e-08	0.0202207527646444	0.0223515465636272	0.140601039997286	1.39799468719892e-09	Inf	2.50199753795418e-09	0.00247510109408499	0.0208473353939463	0.0241981439967902	0.0586756449211872	3.43156512496767e-09	0.0459865248794226	6.57537299620456e-10	1.7399405721316e-09	0.0277109215378604	0.00266660388925817
ESN	2.47317278972231e-10	0.142227349471043	0.151558726762307	2.62107882036327e-09	2.37324200823033e-09	0.136942644736123	2.37451185035984e-10	5.41175135010428e-08	2.7010329364946e-08	3.67588877148832e-09	4.15569780763383e-09	0.124567541597881	1.76531508405697e-10	Inf	3.55734122301192e-09	0.309410033947215	0.236776222792168	0.22614162220607	0.231355001922682	0.292797546609401	2.07969689056332e-07	5.5607682733848e-10	1.92762213916037e-09	0.207359887820719	2.94491248417645e-09
GWD	5.05606819251167e-10	0.0667204695952239	0.0105216048409225	1.9197004008812e-09	4.99175559084684e-09	2.01792110823481e-09	2.59408387353175e-10	1.93507950524354e-07	3.36142243614574e-09	3.36642002812974e-09	1.06190225361866e-08	2.06023390945058e-08	1.24413464783544e-10	Inf	0.0105634050478914	0.0348540982379471	0.15772339353869	0.112144282296041	0.0869182268996	0.0582593717831982	3.09731112624682e-07	5.40394379050382e-10	1.03871152711249e-09	0.170872268647047	4.89465134358346e-09
LWK	4.5441845374255e-10	0.150086665844798	0.141509595110703	3.25866822560502e-09	3.19490662655415e-09	0.103898025224224	2.2778810672007e-10	2.30183478930174e-08	0.135200354799663	1.69098769193848e-09	2.45922289029525e-09	0.0840668439164965	1.56975600063366e-10	Inf	9.81800338308389e-10	0.163092061079599	0.127504335943386	0.152958054472619	0.168460480996989	0.134182871547039	0.00955334114305783	5.16058278334694e-10	1.40829594619694e-09	1.62334025145682e-08	1.98195801047438e-09
MSL	3.5987614087188e-10	0.223188407266059	0.270131852844109	1.35580602489101e-09	4.37287640879734e-09	0.159022978632917	2.50695734279271e-10	0.00586020832716836	7.79305162671867e-09	6.29067164839495e-09	1.14198323714549e-08	0.168876680935744	1.65187578594719e-10	Inf	0.0162267570982519	0.145935567561412	0.00125460261285597	0.0167505914728821	9.50599667729855e-09	0.0975787345329608	2.0838132041834e-08	5.68989233171406e-10	1.55266911371391e-09	0.00203672216496877	0.00533087120418982
YRI	5.8408474298733e-10	0.14039746672403	0.10916505884221	0.00422855791205887	3.11474283126386e-09	0.216308795733509	2.32695499808263e-10	1.01343034822645e-08	2.99761372533707e-07	2.77684140271749e-09	3.88500733034343e-09	0.234402457008963	1.65226431970244e-10	Inf	4.00082710434869e-08	0.178892537644365	0.182852897516731	0.302560845034612	0.355474473080102	0.306937493308827	3.13289572127596e-08	5.48796271135603e-10	1.93000103645562e-09	0.0221610443626662	1.89192784934707e-08
CLM	2.9098582439545e-10	2.24034433065288e-07	9.82039325234797e-10	5.6635364960176e-10	3.32838325129404e-09	0.000319426751626724	4.66058257497524e-10	0.161283884239054	1.096076575727e-08	8.91419301205583e-09	2.29866227006471e-08	0.0370444083710238	8.85950880101618e-09	Inf	1.09041048720358e-09	2.11432896016524e-09	5.18831913358379e-10	6.34630023556792e-09	8.53897441239063e-10	3.51219344842928e-10	0.101782504642735	0.0411059926142679	0.0259932400318043	2.14947060357667e-07	0.0297669393946816
MXL	8.35783629066586e-10	6.96898276179917e-09	0.00261001096710921	2.63436250230714e-10	2.13385611399683e-09	0.0165813944996516	2.78630364288885e-10	3.25836727432552e-09	9.1114817030332e-09	1.66558863591842e-09	1.95789637068165e-09	0.000896375549654013	7.01474710272139e-09	Inf	4.08934071065118e-10	0.0143339733673744	5.56541009340734e-10	0.00744348820050934	1.71170715641333e-09	6.16652602568084e-10	1.6135542792079e-08	1.01597637332941e-09	3.65546836674242e-10	8.64480375883515e-09	1.76037761960384e-09
PEL	3.89667130290335e-10	0.00941803525559871	0.00859586656052278	1.74877162581604e-10	5.50627690242407e-09	1.12321843720657e-09	2.52827502972395e-10	1.94826821673194e-09	0.0742728510307681	9.411076196627e-10	1.23784286885763e-09	1.23044900202148e-08	0.00833090765794509	Inf	7.0685757225119e-10	1.40736900873841e-09	3.37737309404411e-10	2.28519914687314e-09	5.23360007491567e-10	1.0818736869776e-10	7.62073306555997e-09	1.01525102388934e-09	4.44094795441141e-10	2.78796834714522e-09	7.62185642713668e-10
PUR	3.6844357012847e-10	4.20548641468696e-09	0.0028578002060287	2.42411050687742e-09	0.00184119443746205	3.30064786714099e-09	0.0742675652792116	5.80259623496957e-09	2.16851209825322e-07	0.0176024261058352	3.47175350596834e-08	1.03464915412751e-08	0.0527265178848213	Inf	1.14520981181821e-09	1.34521456990351e-09	5.5050278281246e-10	4.16294947174106e-09	1.33578331950779e-09	3.67380624052628e-10	0.36873074278611	8.1164936660095e-09	7.52101580911346e-08	8.57681323028821e-09	1.19496083101006e-08
CDX	3.38710404023692e-11	8.91468619883968e-10	9.16449623812382e-10	5.9154509152128e-10	9.07721997768421e-10	4.51106175015513e-10	9.3690825939478e-11	1.36783358266756e-09	9.71452491906574e-10	7.44882280519153e-10	3.85258520074688e-09	1.59793983741489e-08	6.6363057636099e-10	Inf	1.68918540279528e-09	2.17976443713627e-10	4.0024686720506e-10	5.76927072012301e-10	1.66836487088137e-10	2.45144961238167e-11	2.68547675357211e-09	2.53966130550344e-10	1.65245575766067e-10	4.83038783401878e-10	1.28834480795059e-09
CHB	3.79324506418327e-11	5.82811299086661e-10	6.93166874884848e-10	5.94524460565517e-10	1.23123431611825e-09	4.51455659225214e-10	1.20846249481946e-10	1.40554286091496e-09	1.20514915697794e-09	1.22857211835434e-09	3.74752844554501e-09	1.45171566479098e-08	9.40771693210437e-10	Inf	0.208773675237293	2.28653633691877e-10	3.57576435531123e-10	6.50774344965616e-10	6.64054244268064e-11	3.21886172267168e-11	6.32192586058726e-09	1.62576340862526e-10	1.09998231333554e-10	6.73029692364694e-10	2.86232672193869e-09
CHS	2.74360230140637e-11	5.34464072305522e-10	6.65799834489583e-10	7.91032508974144e-10	9.40480324734278e-10	5.9696364931295e-10	9.86340500202183e-11	1.18490933806499e-09	9.9120455203439e-10	8.15021989625315e-10	2.9354116564617e-09	1.5238593822792e-08	1.96726786047979e-09	Inf	0.219290835718781	2.41509842578144e-10	3.74564485007061e-10	8.83290189373618e-10	6.2122692905837e-11	3.07244564467778e-11	3.53477702471133e-09	3.88810201768718e-10	1.18713536081144e-10	5.54343703010246e-10	1.98930593237061e-09
JPT	4.2134947905871e-11	5.72207340321806e-10	5.43824416444035e-10	3.61939131825963e-10	1.11245444648816e-09	4.91632718608898e-10	2.61394874672163e-10	1.78804111087045e-09	1.01744176032298e-09	1.35730080384969e-09	2.32105133776266e-09	0.00821391673175886	6.15314152665105e-10	Inf	0.54514519047952	2.46846059421275e-10	3.28604429885607e-10	6.90232485833679e-10	1.82569031960946e-10	3.65046600046245e-11	0.0102829043805515	3.74755469961726e-10	1.22901222080674e-10	1.09597087650694e-09	4.76843752221074e-09
KHV	3.94564307719662e-11	5.93282023449017e-10	5.22093746746522e-10	5.98965091547811e-10	1.31247347340743e-09	5.06494689329784e-10	1.07834344795392e-10	1.37032742983257e-09	8.61107895443342e-10	9.15652662479694e-10	3.50278401376073e-09	7.53813952263621e-09	6.77754465906149e-10	Inf	3.83072222065838e-09	2.5210592949721e-10	3.97948673273065e-10	9.63180896021388e-10	1.56775939833537e-10	3.22645188917284e-11	4.31531660636064e-09	2.51171517254731e-10	1.7342539347918e-10	4.10298143037666e-10	9.32866052995802e-10
CEU	0.225322469814031	0.103478871517395	0.103763344840006	0.234042787199554	0.507648723142296	1.92128174321037e-09	0.234640648383549	0.215699991085663	5.22897236259639e-08	0.520023593512396	0.592983962141258	1.26184947786907e-08	0.174884053045075	Inf	4.48126963591102e-08	0.0323019726090146	3.06816200375697e-09	0.0089625408201135	0.00318990828069058	0.0427852353986678	0.249591564696987	0.63401366898139	0.547607814888381	0.149194748441385	0.307662962848806
FIN	4.00620063684717e-10	1.20300000204222e-09	6.16951098820353e-10	0.208728244887202	0.303564952361984	1.17559144561463e-09	0.110168249825381	6.59216038656115e-09	1.02056972650739e-08	0.134641035099589	0.148080887497583	4.98646655682044e-09	0.104293616096224	Inf	1.04671995340632e-09	1.02741313341068e-08	1.29705063438208e-09	4.26798745075545e-08	0.0309789662831459	3.39519883154034e-08	0.0782736926598387	0.167520734396778	0.204791855312819	4.8740832593361e-09	0.0955655826674681
GBR	0.270879745625616	8.94496315476194e-09	1.98806346230571e-09	0.326052085354542	1.86521777211772e-08	1.40058608476378e-09	0.0353082752202493	4.79502936730456e-08	0.281295795088506	0.147664619307088	6.09671327237572e-07	6.06742300510141e-09	0.599546219123159	Inf	1.02281077412835e-09	1.05666202906329e-08	1.86960633579547e-09	1.23873705725583e-08	1.78838491621589e-08	1.01983337850085e-09	1.89973101978243e-07	0.119251360561267	0.0573388668683104	1.30624688473541e-07	1.52870126567117e-08
IBS	1.44367835046443e-09	0.010854684663507	7.89834993945028e-09	0.125465358706887	0.0977422499148555	0.0416384085543306	0.061501368455665	0.453107622857003	0.509230313687991	0.0588619780137511	0.124895035253296	9.39236943666317e-09	2.00924692346611e-08	Inf	1.97437411222088e-08	0.0580813634149674	1.90954378614148e-09	0.0231323080109591	0.028384128573456	2.42577349695319e-09	4.6942588727196e-06	5.96468705004284e-09	8.58523659697493e-09	0.177065806850302	0.0129815605309711
TSI	0.488095143177427	3.29241525193492e-09	7.86319691587038e-10	0.0588218668264525	0.0853143570544071	2.64324119914347e-09	0.465299849636352	0.110671806880101	1.5449096069249e-08	0.1009855501868	0.100327871594792	7.88969075812961e-09	0.0602186368161655	Inf	1.2924967511621e-09	2.72193933015902e-09	1.77197745951491e-09	2.34449994101398e-08	3.64470249187242e-09	1.46457773883124e-09	0.135793043822039	0.00886339955324502	0.125142262242153	7.15511268735613e-08	0.499090252449445
BEB	1.75261220929942e-10	4.04308592766545e-09	3.19414611011821e-09	2.31813665820789e-09	1.48789667910066e-09	6.01200536411986e-10	0.0188140359386509	4.24805670959678e-09	1.15615737919265e-09	1.07405929343922e-09	1.85768788406429e-08	1.08699883381923e-08	8.56193668384583e-10	Inf	5.02537597998999e-10	7.09432403113564e-10	7.00265604134207e-09	1.00522513972443e-08	9.51249409990599e-10	2.87348529735811e-10	1.9284725831175e-09	1.37799564563263e-09	4.8353335505956e-10	2.01647111225761e-09	6.10509210583882e-09
GIH	4.61951130963808e-09	0.0207410525492614	0.00780642522960952	0.0338428687160683	1.75295998337417e-09	1.19233855380429e-09	1.33246363722607e-09	0.0533760925292781	1.86122074556734e-09	1.1675633684322e-09	2.53812927600604e-08	1.10403254648636e-08	9.95415011475266e-10	Inf	3.34930731124298e-10	2.90996006003118e-09	1.08796649402977e-08	1.79587217251443e-08	1.96824012587832e-09	0.00885402950399774	1.27440153194859e-09	0.0292448123967434	0.0265674291099016	6.08300690331942e-09	0.0469349597643666
ITU	3.2578876612634e-10	2.49790135592255e-08	1.94153939113547e-09	1.30900451852879e-09	1.29604197183871e-09	1.27076389449014e-09	6.68697280584335e-10	2.91401137217931e-09	1.98410165709125e-09	1.47476785587148e-09	1.63165334222083e-07	2.73320777650635e-08	2.36832874882297e-09	Inf	7.11376411709647e-10	9.32917448814437e-10	3.4012704046293e-08	4.7333681080223e-08	2.57641447553117e-09	8.0346026391356e-10	1.40136198618073e-09	2.80475329998571e-09	1.09349280556638e-09	3.84488690838196e-09	5.7798057618396e-09
PJL	6.74597154907749e-10	5.15239088535984e-09	2.14032977848867e-09	0.00881815650822248	1.21927974491294e-09	1.19088807171574e-09	4.86616574825388e-10	2.06521915390186e-09	2.64284239356473e-09	1.23316716260938e-09	3.5515109740103e-08	2.94561039557787e-08	1.13433444993694e-09	Inf	1.31674940573498e-09	0.0388785031762114	0.0307196850344401	0.0167974800541278	0.00357359107933203	0.0229106174604871	3.52403472861206e-09	1.68746042165662e-09	8.67310021547013e-10	1.16968687871323e-08	2.73670124622877e-09
STU	1.93772840145088e-10	1.5642016685636e-08	1.66087386447098e-09	2.3154264765954e-09	1.28663320233406e-09	1.42102398249343e-09	1.04134330737932e-09	3.0395585146618e-09	1.74982758901295e-09	1.28688907158029e-09	0.0113597291005852	5.02657118315137e-05	7.72910619076325e-10	Inf	4.37067725709853e-10	8.97178138486036e-10	0.000733377354964149	1.14751813573167e-08	1.4630167934621e-09	3.51769530466294e-10	1.61126626986686e-09	3.82487085756406e-09	1.05643530605549e-09	3.67387775346786e-09	5.706425050525e-09
