ID	GT.0	GT.0.5	GT.1	GT.NA	GT.all
GTEX-12BJ1-5007-SM-H8L6U__Prostate	44929	23682	16265	4502014	4586890
GTEX-13N11-5002-SM-H5JDV__Heart_Left_Ventricle	64363	38003	26138	4458386	4586890
GTEX-13N11-5030-SM-H5JDW__Lung	52125	28735	20529	4485501	4586890
GTEX-144GM-5010-SM-HD2M8__Esophagus_Muscularis	36394	18905	13289	4518302	4586890
GTEX-145ME-5005-SM-H8L6T__Esophagus_Mucosa	10261	4643	3648	4568338	4586890
GTEX-145ME-5018-SM-G8XQB__Muscle_Skeletal	41771	22736	16417	4505966	4586890
GTEX-15CHR-5005-SM-H5JDT__Lung	38129	18887	13751	4516123	4586890
GTEX-15CHR-5014-SM-H5JDU__Prostate	3167	1092	912	4581719	4586890
GTEX-15EOM-5003-SM-G64IH__Skin_Sun_Exposed_Lower_leg	135	28	32	4586695	4586890
GTEX-15RIE-5015-SM-H8L6X__Heart_Left_Ventricle	57187	31390	20983	4477330	4586890
GTEX-15RIE-5021-SM-H8L6Y__Muscle_Skeletal	39580	19867	14125	4513318	4586890
GTEX-15SB6-5008-SM-H8L72__Esophagus_Mucosa	34932	18808	14099	4519051	4586890
GTEX-16BQI-5013-SM-H8SUW__Esophagus_Mucosa	42903	21903	15189	4506895	4586890
GTEX-1CAMR-5015-SM-HPJ3B__Skin_Sun_Exposed_Lower_leg	0	0	0	4586890	4586890
GTEX-1CAMS-5015-SM-HPJ3C__Breast_Mammary_Tissue	4665	1844	1821	4578560	4586890
GTEX-1HSMQ-5005-SM-GKSJF__Lung	40838	21828	11206	4513018	4586890
GTEX-1HSMQ-5007-SM-GKSJG__Skin_Sun_Exposed_Lower_leg	8218	3795	3351	4571526	4586890
GTEX-1HSMQ-5011-SM-GKSJH__Muscle_Skeletal	61007	32724	24136	4469023	4586890
GTEX-1HSMQ-5014-SM-GKSJI__Prostate	28702	14047	11260	4532881	4586890
GTEX-1HSMQ-5021-SM-HD2MA__Esophagus_Muscularis	37568	20510	15677	4513135	4586890
GTEX-1I1GU-5006-SM-G8XQC__Prostate	50946	29022	18596	4488326	4586890
GTEX-1ICG6-5003-SM-GHS9A__Heart_Left_Ventricle	56069	29528	21292	4480001	4586890
GTEX-1ICG6-5014-SM-GHS9D__Esophagus_Muscularis	35578	17979	12998	4520335	4586890
GTEX-1MCC2-5013-SM-HPJ3D__Breast_Mammary_Tissue	1936	785	627	4583542	4586890
GTEX-1R9PN-5002-SM-HD2MC__Breast_Mammary_Tissue	19917	9301	7147	4550525	4586890
