ID	GT.0	GT.0.5	GT.1	GT.NA	GT.all
CBTM-361B_AX	19622	10235	7784	4549249	4586890
CBTM-361B_LA	6607	3122	2756	4574405	4586890
CBTM-361B_LV	79306	43651	30408	4433525	4586890
CBTM-361B_RV	22569	11596	8673	4544052	4586890
CBTM-362C_AX	66293	35122	25755	4459720	4586890
CBTM-362C_LA	47372	25001	18942	4495575	4586890
CBTM-362C_LV	60323	31399	23453	4471715	4586890
CBTM-362C_RA	41677	21187	16465	4507561	4586890
CBTM-362C_RV	56778	29273	22098	4478741	4586890
CBTM-362C_SP	60843	31412	23354	4471281	4586890
CBTM-364B_AX	41485	21615	16648	4507142	4586890
CBTM-364B_LA	17709	8813	7172	4553196	4586890
CBTM-364B_LV	38589	20049	15416	4512836	4586890
CBTM-364B_RA	39972	20741	16297	4509880	4586890
CBTM-364B_RV	15287	7466	6364	4557773	4586890
CBTM-364B_SP	12568	6323	5224	4562775	4586890
CBTM-386C_AX	39964	21081	15610	4510235	4586890
CBTM-386C_LA	36832	18951	14305	4516802	4586890
CBTM-386C_LV	46904	24819	17779	4497388	4586890
CBTM-386C_RA	22744	11655	9094	4543397	4586890
CBTM-386C_RV	38024	20196	14969	4513701	4586890
CBTM-386C_SP	39159	20646	15395	4511690	4586890
CBTM-390C_AX	27904	14685	10765	4533536	4586890
CBTM-390C_LA	21549	10733	8491	4546117	4586890
CBTM-390C_LV	48758	26731	18457	4492944	4586890
CBTM-390C_RA	25237	12949	10142	4538562	4586890
CBTM-390C_RV	41094	22358	15779	4507659	4586890
CBTM-390C_SP	20759	10717	8257	4547157	4586890
CBTM-417C_AX	87165	48392	34621	4416712	4586890
CBTM-417C_LA	56622	30780	22408	4477080	4586890
CBTM-417C_LV	80485	44367	31826	4430212	4586890
CBTM-417C_RA	37517	19216	15071	4515086	4586890
CBTM-417C_RV	90671	50127	35888	4410204	4586890
CBTM-417C_SP	83649	46127	33113	4424001	4586890
CBTM-423C_AX	32398	16647	12488	4525357	4586890
CBTM-423C_LA	41218	21228	15829	4508615	4586890
CBTM-423C_LV	37896	19587	14458	4514949	4586890
CBTM-423C_RA	29584	14973	11494	4530839	4586890
CBTM-423C_RV	56346	29442	21355	4479747	4586890
CBTM-423C_SP	32191	16711	12453	4525535	4586890
CBTM-473C_AX	59494	32057	23509	4471830	4586890
CBTM-473C_LA	21186	10615	8540	4546549	4586890
CBTM-473C_LV	32965	17005	12988	4523932	4586890
CBTM-473C_RA	3977	1815	1596	4579502	4586890
CBTM-473C_RV	45833	24532	18100	4498425	4586890
CBTM-473C_SP	66339	35980	26527	4458044	4586890
H0015_AX	97280	53824	38394	4397392	4586890
H0015_LV	94881	52749	36829	4402431	4586890
H0015_RA	23857	12652	8970	4541411	4586890
H0015_RV	81135	44836	32729	4428190	4586890
H0015_SP	111937	62618	43229	4369106	4586890
H0020_AX	59891	32588	23367	4471044	4586890
H0020_LV	102656	58222	40481	4385531	4586890
H0020_RA	42888	23051	16971	4503980	4586890
H0020_RV	48844	26120	19268	4492658	4586890
H0020_SP	71450	39121	27817	4448502	4586890
H0025_AX	48867	26318	23039	4488666	4586890
H0025_LA	46830	25499	21975	4492586	4586890
H0025_LV	88935	50150	42134	4405671	4586890
H0025_RA	32710	17066	15588	4521526	4586890
H0025_RV	61206	33330	29101	4463253	4586890
H0025_SP	61444	33609	29608	4462229	4586890
H0026_AX	40297	21249	16091	4509253	4586890
H0026_LA	36469	18915	14716	4516790	4586890
H0026_LV	50258	26435	20049	4490148	4586890
H0026_RA	12168	5881	5060	4563781	4586890
H0026_RV	56830	30241	22791	4477028	4586890
H0026_SP	41816	21809	16942	4506323	4586890
H0035_AX	41921	23306	16785	4504878	4586890
H0035_LA	66802	37096	26490	4456502	4586890
H0035_LV	90563	52462	35914	4407951	4586890
H0035_RA	17660	9292	7367	4552571	4586890
H0035_RV	94096	53027	37304	4402463	4586890
H0035_SP	45921	26630	18265	4496074	4586890
H0037_AX	65462	36460	26426	4458542	4586890
H0037_LV	77877	44007	31170	4433836	4586890
H0037_RV	65616	36675	26772	4457827	4586890
H0037_SP	54183	29552	22006	4481149	4586890
