ID	GT.0	GT.0.5	GT.1	GT.NA	GT.all
SPECTRUM-OV-002_S1_CD45N_RIGHT_OVARY	27386	12391	10541	4536572	4586890
SPECTRUM-OV-002_S1_CD45P_INFRACOLIC_OMENTUM	42629	23078	16114	4505069	4586890
SPECTRUM-OV-002_S1_CD45P_RIGHT_OVARY	46779	25672	17820	4496619	4586890
SPECTRUM-OV-003_S1_UNSORTED_INFRACOLIC_OMENTUM	63482	27569	25410	4470429	4586890
SPECTRUM-OV-003_S1_UNSORTED_LEFT_ADNEXA	51842	24594	20522	4489932	4586890
SPECTRUM-OV-003_S1_UNSORTED_LEFT_UPPER_QUADRANT	62900	25999	25101	4472890	4586890
SPECTRUM-OV-003_S1_UNSORTED_PELVIC_PERITONEUM	52652	25295	20644	4488299	4586890
SPECTRUM-OV-003_S1_UNSORTED_RIGHT_ADNEXA	56634	25787	22306	4482163	4586890
SPECTRUM-OV-003_S1_UNSORTED_RIGHT_UPPER_QUADRANT	54804	24454	21700	4485932	4586890
SPECTRUM-OV-007_S1_CD45N_ANTERIOR_ABDOMINAL_WALL	33775	8936	15246	4528933	4586890
SPECTRUM-OV-007_S1_CD45N_BOWEL	36675	10579	15993	4523643	4586890
SPECTRUM-OV-007_S1_CD45N_INFRACOLIC_OMENTUM	54042	15451	24222	4493175	4586890
SPECTRUM-OV-007_S1_CD45N_LEFT_ADNEXA	34094	12723	14309	4525764	4586890
SPECTRUM-OV-007_S1_CD45N_PELVIC_PERITONEUM	24614	11622	9812	4540842	4586890
SPECTRUM-OV-007_S1_CD45N_RIGHT_ADNEXA	34133	12735	14324	4525698	4586890
SPECTRUM-OV-007_S1_CD45P_ANTERIOR_ABDOMINAL_WALL	51374	25688	20736	4489092	4586890
SPECTRUM-OV-007_S1_CD45P_ASCITES	38726	19074	15671	4513419	4586890
SPECTRUM-OV-007_S1_CD45P_BOWEL	54230	27416	22035	4483209	4586890
SPECTRUM-OV-007_S1_CD45P_INFRACOLIC_OMENTUM	60694	30843	24576	4470777	4586890
SPECTRUM-OV-007_S1_CD45P_LEFT_ADNEXA	24153	11466	9603	4541668	4586890
SPECTRUM-OV-007_S1_CD45P_PELVIC_PERITONEUM	60599	16609	27441	4482241	4586890
SPECTRUM-OV-008_S1_CD45N_BOWEL	102165	25896	48055	4410774	4586890
SPECTRUM-OV-008_S1_CD45N_INFRACOLIC_OMENTUM	29093	17289	10990	4529518	4586890
SPECTRUM-OV-008_S1_CD45P_BOWEL	59022	36004	22408	4469456	4586890
SPECTRUM-OV-008_S1_CD45P_INFRACOLIC_OMENTUM	60129	37161	22945	4466655	4586890
SPECTRUM-OV-009_S1_CD45N_BOWEL	79563	27837	38844	4440646	4586890
SPECTRUM-OV-009_S1_CD45N_INFRACOLIC_OMENTUM	95571	28971	47320	4415028	4586890
SPECTRUM-OV-009_S1_CD45N_LEFT_OVARY	84135	29015	40990	4432750	4586890
SPECTRUM-OV-009_S1_CD45N_LEFT_UPPER_QUADRANT	41925	13361	20306	4511298	4586890
SPECTRUM-OV-009_S1_CD45N_PELVIC_PERITONEUM	73101	25209	35268	4453312	4586890
SPECTRUM-OV-009_S1_CD45N_RIGHT_OVARY	87217	27486	42529	4429658	4586890
SPECTRUM-OV-009_S1_CD45N_RIGHT_UPPER_QUADRANT	77726	27738	37665	4443761	4586890
SPECTRUM-OV-009_S1_CD45P_ASCITES	13957	6894	5917	4560122	4586890
SPECTRUM-OV-009_S1_CD45P_BOWEL	59820	33486	26074	4467510	4586890
SPECTRUM-OV-009_S1_CD45P_INFRACOLIC_OMENTUM	61524	34252	27188	4463926	4586890
SPECTRUM-OV-009_S1_CD45P_LEFT_OVARY	63889	35428	28017	4459556	4586890
SPECTRUM-OV-009_S1_CD45P_LEFT_UPPER_QUADRANT	69100	38420	30411	4448959	4586890
SPECTRUM-OV-009_S1_CD45P_PELVIC_PERITONEUM	70633	39353	30938	4445966	4586890
SPECTRUM-OV-009_S1_CD45P_RIGHT_OVARY	62286	34942	27359	4462303	4586890
SPECTRUM-OV-009_S1_CD45P_RIGHT_UPPER_QUADRANT	65711	36676	28986	4455517	4586890
SPECTRUM-OV-014_S1_CD45N_ASCITES	29259	14751	11701	4531179	4586890
SPECTRUM-OV-014_S1_CD45N_BOWEL	88322	34907	37359	4426302	4586890
SPECTRUM-OV-014_S1_CD45N_LEFT_OVARY	82698	32811	34832	4436549	4586890
SPECTRUM-OV-014_S1_CD45N_PELVIC_PERITONEUM	64608	25917	26964	4469401	4586890
SPECTRUM-OV-014_S1_CD45N_RIGHT_UPPER_QUADRANT	86735	37520	36308	4426327	4586890
SPECTRUM-OV-014_S1_CD45P_ASCITES	61313	33695	24236	4467646	4586890
SPECTRUM-OV-014_S1_CD45P_BOWEL	55612	31523	22455	4477300	4586890
SPECTRUM-OV-014_S1_CD45P_LEFT_OVARY	56250	31765	22762	4476113	4586890
SPECTRUM-OV-014_S1_CD45P_PELVIC_PERITONEUM	55762	31320	22426	4477382	4586890
