ID	GT.0	GT.0.5	GT.1	GT.NA	GT.all
SPECTRUM-OV-002_tumour	2102724	1399838	954116	130212	4586890
SPECTRUM-OV-002	2065147	1572145	923761	25837	4586890
SPECTRUM-OV-003_tumour	2079913	1517751	932687	56539	4586890
SPECTRUM-OV-003	2075462	1556334	928759	26335	4586890
SPECTRUM-OV-004_tumour	2191531	1260274	1025506	109579	4586890
SPECTRUM-OV-004	2082968	1548560	930829	24533	4586890
SPECTRUM-OV-007_tumour	2163851	1284026	1033750	105263	4586890
SPECTRUM-OV-007	2128425	1445521	987851	25093	4586890
SPECTRUM-OV-008_tumour	1985202	1614074	884800	102814	4586890
SPECTRUM-OV-008	1964812	1725499	866472	30107	4586890
SPECTRUM-OV-009_tumour	2262286	929630	1271391	123583	4586890
SPECTRUM-OV-009	2000156	1519705	1040141	26888	4586890
SPECTRUM-OV-014_tumour	2226028	1205472	1080295	75095	4586890
SPECTRUM-OV-014	2065923	1559710	934331	26926	4586890
SPECTRUM-OV-022_tumour	2211700	1145432	1037085	192673	4586890
SPECTRUM-OV-022	2070998	1567021	921236	27635	4586890
SPECTRUM-OV-024_tumour	2284759	873152	757510	671469	4586890
SPECTRUM-OV-024	2077906	1552137	929548	27299	4586890
SPECTRUM-OV-025_tumour	2312144	946612	1133118	195016	4586890
SPECTRUM-OV-025	2081331	1551132	928502	25925	4586890
SPECTRUM-OV-026_tumour	2377593	863654	1212084	133559	4586890
SPECTRUM-OV-026	2102613	1499516	959653	25108	4586890
SPECTRUM-OV-031_tumour	1974064	1659537	887986	65303	4586890
SPECTRUM-OV-031	1988480	1562088	864228	172094	4586890
SPECTRUM-OV-036_tumour	2119552	1435766	964823	66749	4586890
SPECTRUM-OV-036	2066426	1569635	923375	27454	4586890
SPECTRUM-OV-037_tumour	2268175	1012861	1110302	195552	4586890
SPECTRUM-OV-037	2060314	1573329	924391	28856	4586890
SPECTRUM-OV-041_tumour	2272315	1036295	1123434	154846	4586890
SPECTRUM-OV-041	2102041	1391698	892440	200711	4586890
SPECTRUM-OV-042_tumour	2326699	1029440	1163077	67674	4586890
SPECTRUM-OV-042	2092882	1525438	935552	33018	4586890
SPECTRUM-OV-045_tumour	2077140	1430169	946675	132906	4586890
SPECTRUM-OV-045	2066337	1465410	894213	160930	4586890
SPECTRUM-OV-049_tumour	2177157	1239500	1004783	165450	4586890
SPECTRUM-OV-049	2077637	1557091	924260	27902	4586890
SPECTRUM-OV-050_tumour	2092412	1462903	948906	82669	4586890
SPECTRUM-OV-050	2072523	1556033	929807	28527	4586890
SPECTRUM-OV-051_tumour	2182432	1249050	1041209	114199	4586890
SPECTRUM-OV-051	2067808	1557112	934596	27374	4586890
SPECTRUM-OV-052_tumour	2417818	803710	1245107	120255	4586890
SPECTRUM-OV-052	2091051	1528934	939785	27120	4586890
SPECTRUM-OV-053_tumour	2029506	1573681	937775	45928	4586890
SPECTRUM-OV-053	2026761	1599977	936303	23849	4586890
SPECTRUM-OV-054_tumour	2072393	1554061	927568	32868	4586890
SPECTRUM-OV-054	2071133	1562123	926338	27296	4586890
SPECTRUM-OV-065_tumour	2095123	1492262	935132	64373	4586890
SPECTRUM-OV-065	2084021	1545919	927365	29585	4586890
SPECTRUM-OV-067_tumour	2086150	1525811	919316	55613	4586890
SPECTRUM-OV-067	2081361	1556195	916437	32897	4586890
SPECTRUM-OV-068_tumour	2126104	1402428	974626	83732	4586890
SPECTRUM-OV-068	2120431	1466062	973683	26714	4586890
SPECTRUM-OV-070_tumour	2255940	1113520	1075126	142304	4586890
SPECTRUM-OV-070	2087286	1545423	929014	25167	4586890
SPECTRUM-OV-075	2061964	1564783	929908	30235	4586890
SPECTRUM-OV-077_tumour	2087973	1511467	937974	49476	4586890
SPECTRUM-OV-077	2074806	1559485	926546	26053	4586890
SPECTRUM-OV-080_tumour	2085710	1448897	950097	102186	4586890
SPECTRUM-OV-080	2055082	1574497	928985	28326	4586890
SPECTRUM-OV-081_tumour	2027250	1310461	975267	273912	4586890
SPECTRUM-OV-081	1972610	1634211	946873	33196	4586890
SPECTRUM-OV-082_tumour	2134347	1186815	928780	336948	4586890
SPECTRUM-OV-082	2074402	1555985	928083	28420	4586890
SPECTRUM-OV-083_tumour	2072765	1487736	915975	110414	4586890
SPECTRUM-OV-083	2066173	1572823	920909	26985	4586890
SPECTRUM-OV-105_tumour	2084459	1478611	952527	71293	4586890
SPECTRUM-OV-105	2067892	1555685	937589	25724	4586890
SPECTRUM-OV-107_tumour	2217572	1201211	1046931	121176	4586890
SPECTRUM-OV-107	2074027	1557168	931292	24403	4586890
SPECTRUM-OV-110_tumour	2081527	1529268	919978	56117	4586890
SPECTRUM-OV-110	2075926	1572836	912495	25633	4586890
SPECTRUM-OV-112_tumour	2331876	926394	1156558	172062	4586890
SPECTRUM-OV-112	2075123	1564885	921036	25846	4586890
SPECTRUM-OV-115_tumour	2016235	1462522	1054769	53364	4586890
SPECTRUM-OV-115	2013897	1491211	1055100	26682	4586890
SPECTRUM-OV-116_tumour	2521578	490693	384691	1189928	4586890
SPECTRUM-OV-116	2063054	1574282	925607	23947	4586890
SPECTRUM-OV-118_tumour	2146984	1155876	1165954	118076	4586890
SPECTRUM-OV-118	2023986	1470246	1064257	28401	4586890
