ID	GT.0	GT.0.5	GT.1	GT.NA	GT.all
adipose_omentum_SM-ADYHB	5704	2668	2691	4575827	4586890
adipose_omentum_SM-CHZRM	3385	1536	1358	4580611	4586890
adipose_omentum_SM-CSSD4	24460	11868	9984	4540578	4586890
adipose_omentum_SM-IOBHJ	13773	7652	5750	4559715	4586890
adrenal_gland_SM-A8WNO	37178	21344	15320	4513048	4586890
artery_aorta_SM-C1MLC	31970	18789	13209	4522922	4586890
artery_aorta_SM-C1PX3	58901	30767	23874	4473348	4586890
artery_aorta_SM-CR89M	38445	19896	14816	4513733	4586890
artery_aorta_SM-JF1NU	49450	25812	22568	4489060	4586890
artery_tibial_SM-CHLWW	7133	3401	2719	4573637	4586890
artery_tibial_SM-IOBHK	21270	12210	8792	4544618	4586890
colon_sigmoid_SM-AZPYO	24698	14478	10087	4537627	4586890
colon_sigmoid_SM-JF1O8	33965	18380	14056	4520489	4586890
colon_transverse_SM-A9HOW	25052	14432	10610	4536796	4586890
colon_transverse_SM-A9VP4	22460	11548	10351	4542531	4586890
colon_transverse_SM-ACCQ1	8080	4117	3458	4571235	4586890
colon_transverse_SM-BZ2ZS	17707	10088	7279	4551816	4586890
colon_transverse_SM-CSSDA	25236	13492	10254	4537908	4586890
esophagus_ge_junction_SM-IOERG	14824	8717	6183	4557166	4586890
esophagus_mucosa_SM-A9HOR	58691	34337	25025	4468837	4586890
esophagus_mucosa_SM-A9VPA	23592	11528	11079	4540691	4586890
esophagus_mucosa_SM-AZPYJ	100552	55162	40463	4390713	4586890
esophagus_muscularis_SM-A8CPH	50681	27521	20806	4487882	4586890
esophagus_muscularis_SM-CSSCV	45851	24303	21362	4495374	4586890
esophagus_muscularis_SM-IOBHM	23251	13299	9744	4540596	4586890
esophagus_muscularis_SM-IQYD1	64583	36327	26208	4459772	4586890
heart_atrial_appendage_SM-IOBHN	13323	7513	5680	4560374	4586890
heart_atrial_appendage_SM-JF1NX	11642	5536	5380	4564332	4586890
heart_lv_SM-IOBHO	50040	28718	21111	4487021	4586890
heart_lv_SM-JF1NY	81792	43405	38705	4422988	4586890
liver_SM-A8WNZ	21009	12050	8760	4545071	4586890
lung_SM-A62E9	8444	4014	3469	4570963	4586890
lung_SM-A8WNH	8774	4846	3630	4569640	4586890
lung_SM-ACCPU	4489	2093	1830	4578478	4586890
lung_SM-JF1NZ	23463	12140	10766	4540521	4586890
mammary_tissue_SM-IOBHL	38630	22044	15956	4510260	4586890
mammary_tissue_SM-JF1NV	57369	30504	26207	4472810	4586890
muscle_SM-ADA6L	64984	37255	27669	4456982	4586890
muscle_SM-C1MKW	21077	11620	8227	4545966	4586890
muscle_SM-C1PWV	39185	20657	17874	4509174	4586890
muscle_SM-IOBHP	48764	26528	20496	4491102	4586890
nerve_tibial_SM-CHLWU	8646	4292	3355	4570597	4586890
nerve_tibial_SM-CP2V6	1499	676	694	4584021	4586890
nerve_tibial_SM-IOBHQ	6365	3429	2598	4574498	4586890
ovary_SM-IOBHR	15371	8950	6299	4556270	4586890
pancreas_SM-ADRUQ	19798	10558	8988	4547546	4586890
pancreas_SM-IOBHS	36138	21693	15187	4513872	4586890
pancreas_SM-JF1NS	22163	12434	8925	4543368	4586890
pancreas_SM-JF1O6	15807	8368	6482	4556233	4586890
skin_SM-IOBHT	3490	1801	1502	4580097	4586890
skin_SM-JF1O1	3816	1805	1814	4579455	4586890
skin_sun_exposed_SM-ADYHK	6596	3185	3183	4573926	4586890
skin_sun_exposed_SM-IOBHU	3850	1994	1648	4579398	4586890
skin_sun_exposed_SM-IQYCP	7973	3804	3457	4571656	4586890
skin_sun_exposed_SM-JF1NT	9069	4601	3705	4569515	4586890
small_intestine_SM-A62GO	21014	12134	8916	4544826	4586890
small_intestine_SM-ADA5F	27180	13517	10814	4535379	4586890
stomach_SM-CHLWL	13364	7154	5364	4561008	4586890
stomach_SM-IOBHV	30874	18483	13159	4524374	4586890
stomach_SM-JF1NP	5203	2715	2206	4576766	4586890
stomach_SM-JF1O3	3968	1930	1806	4579186	4586890
thyroid_SM-C1MKY	57333	31678	23321	4474558	4586890
thyroid_SM-IOBHW	47825	28192	20422	4490451	4586890
thyroid_SM-JF1O4	67422	37379	31429	4450660	4586890
uterus_SM-IOBHX	13159	7575	5387	4560769	4586890
vagina_SM-A9HOS	8272	4523	3397	4570698	4586890
