	BM_1	BM_2	BM_3	BM_4	BM_5	BM_6	BM_7	BM_WGS_6	BM_WGS_7						
ACB	6.91E-08	1.26E-08	4.24E-09	0.011462532	1.26E-11	5.73E-09	0.018945443	1.33E-09	3.33E-10						
ASW	8.47E-09	0.093094552	3.86E-10	1.52E-09	2.77E-12	8.27E-09	8.64E-10	5.46E-09	4.95E-10						
ESN	8.52E-09	0.019682634	0.00170547	5.70E-09	1.88E-11	0.008609747	2.93E-10	2.09E-09	2.10E-10						
GWD	1.40E-08	0.042279408	5.07E-10	1.55E-09	1.22E-11	1.25E-09	4.18E-10	1.15E-09	3.21E-10						
LWK	1.35E-08	0.699392523	5.33E-09	3.69E-07	1.29E-11	0.01982602	2.74E-10	1.77E-02	2.62E-10						
MSL	0.006120107	0.101752409	6.85E-10	2.47E-09	1.35E-11	2.07E-09	4.36E-10	2.09E-09	2.15E-10						
YRI	2.90E-08	0.012703005	1.48E-09	1.19E-08	2.15E-11	2.02E-09	3.86E-10	1.59E-09	2.99E-10						
CLM	0.045910026	2.92E-10	2.81E-10	5.56E-10	6.10E-11	4.75E-10	2.82E-10	4.67E-09	5.71E-09						
MXL	1.04E-08	4.92E-10	1.94E-10	1.55E-10	1.22E-10	2.05E-10	5.02E-10	3.93E-09	7.74E-10						
PEL	8.29E-09	1.07E-10	1.00E-10	1.91E-10	3.73E-09	8.39E-11	1.26E-10	1.51E-09	4.03E-10						
PUR	3.82E-08	1.08E-09	2.85E-10	5.77E-10	1.35E-11	5.38E-09	7.22E-09	1.26E-07	1.90E-09						
CDX	5.67E-10	1.22E-10	0.530491146	1.99E-10	0.086608997	1.22E-10	8.68E-11	2.79E-10	0.001902285						
CHB	7.41E-10	1.06E-10	0.132738588	2.29E-10	0.417006879	1.04E-10	1.04E-10	3.32E-10	8.39E-10						
CHS	6.75E-10	1.15E-10	0.06960901	1.81E-10	0.34600778	9.20E-11	9.84E-11	2.41E-10	2.33E-09						
JPT	6.87E-10	1.50E-10	4.99E-10	1.46E-10	1.14E-09	1.02E-10	1.32E-10	3.07E-10	7.36E-10						
KHV	5.33E-10	8.22E-11	0.249632815	2.46E-10	0.150376337	1.26E-10	8.88E-11	2.90E-10	1.34E-08						
CEU	0.298822236	1.08E-09	3.06E-10	1.22E-09	1.03E-10	3.50E-09	0.501412625	4.35E-09	0.358797581						
FIN	0.062884043	2.91E-08	5.75E-10	6.40E-10	1.85E-10	2.41E-09	0.10124858	1.32E-09	0.076348922						
GBR	0.163011979	2.40E-08	2.96E-10	9.99E-10	1.28E-10	0.037998266	0.178683125	1.10E-08	0.268621393						
IBS	0.231396998	3.98E-09	3.77E-10	2.79E-09	1.02E-10	0.121265229	0.199710213	0.128497111	0.177137464						
TSI	0.191854404	0.004991766	2.97E-10	1.33E-09	8.76E-11	0.532750238	1.15E-09	0.517879957	0.101157441						
BEB	7.72E-10	4.88E-10	0.015822947	0.133217485	2.43E-10	7.30E-10	1.03E-10	1.27E-09	0.002916644						
GIH	8.36E-10	0.026103621	1.58E-09	0.116250758	3.06E-10	0.153990954	7.48E-11	1.39E-01	1.10E-08						
ITU	5.51E-10	2.41E-09	2.89E-09	0.231802402	1.92E-10	0.029361395	9.03E-11	0.006980191	0.013118212						
PJL	1.08E-09	3.55E-09	8.22E-10	0.126639983	1.79E-10	0.096198115	1.44E-10	1.90E-01	9.50E-09						
STU	4.76E-10	1.38E-09	3.30E-09	0.380626438	2.27E-10	1.76E-09	6.96E-11	2.93E-09	8.32E-09						
