	CLM	CLM_YRI	YRI
ACB	-1.1761928003446073e-09	0.021858404441405094	2.567542808049671e-07
ASW	-1.3117157828776752e-09	1.994199311497647e-08	0.013405522336781849
ESN	-1.1082375663696263e-09	3.043464874506008e-08	2.0419828108909302e-07
GWD	-1.1203549214709595e-09	6.001175777126318e-08	2.0139006896082646e-07
LWK	-1.1562856458013725e-09	4.234852780112988e-08	7.88758696557655e-08
MSL	-1.1138264541187357e-09	1.496994786916936e-07	0.044799079067037464
YRI	-1.1108224354517207e-09	0.4607209488262192	0.9417945349959123
CLM	0.7103980423302378	0.3910951221982089	7.509008632048864e-09
MXL	-1.1293878583670703e-09	1.2166421417101654e-09	5.984652752908574e-09
PEL	-8.260803444610996e-10	4.453217741372351e-10	4.697099439906352e-09
PUR	7.093324458960439e-10	3.765475201985494e-09	7.419701219221188e-09
CDX	-1.502597365620067e-09	4.740035513408901e-10	6.762768401352644e-09
CHB	-1.552472127277689e-09	4.2305565187146537e-10	6.304801486224637e-09
CHS	-1.4746850368981106e-09	4.5513536648144374e-10	6.965767707390703e-09
JPT	-1.490226335647096e-09	4.832334981425612e-10	7.708070996015132e-09
KHV	-1.5481095089626622e-09	4.396632227055874e-10	5.990579501453414e-09
CEU	5.494384239030539e-08	7.644803258780469e-09	6.18731915169969e-09
FIN	1.9397030847177288e-08	4.455560560416303e-09	6.2578551270821495e-09
GBR	0.12912315612144826	0.05097555782618649	6.520150958871463e-09
IBS	4.1371308356431344e-07	2.1381781619632294e-08	6.16031328411638e-09
TSI	0.1604783378830691	0.075349616939569	5.994085230619092e-09
BEB	-1.5795477862997888e-09	1.1756827189570246e-09	7.558644242363222e-09
GIH	-1.227969976782136e-09	1.4164990580768166e-09	7.4043646264988625e-09
ITU	-1.4430086525794967e-09	1.2070822157623886e-09	5.404554259081281e-09
PJL	-1.3202495683034261e-09	1.2927554589677103e-09	5.8979837594062925e-09
STU	-1.6845172613337045e-09	1.0654733498943524e-09	5.7035990470764275e-09
