	ESN	ESN_MXL	MXL
ACB	2.8767692520398078e-08	2.604031574624353e-08	1.3016382034635493e-09
ASW	0.004344049671660419	1.596528939900176e-08	9.647711079665456e-10
ESN	0.9028005552589623	0.4611858238414192	1.8024231930158306e-09
GWD	0.02208737950543011	1.8486427116875343e-07	1.4183881400438698e-09
LWK	0.0020700299766393854	8.233135591696889e-08	1.4541247148850109e-09
MSL	0.03773609571866816	0.027848032139446897	1.7501615102543404e-09
YRI	0.029250680407831967	0.00702376193457613	1.7308413671914219e-09
CLM	4.420784378706424e-09	6.665838734314437e-09	8.14632279807808e-10
MXL	2.7234845657258586e-09	0.443646261223379	0.8836241213115135
PEL	2.722759562402432e-09	0.052417512564451284	0.11366425001276186
PUR	3.035579485044086e-09	3.370495157900471e-09	4.079942865065763e-10
CDX	6.833977488860141e-09	4.282687887530268e-08	9.30735358622885e-09
CHB	6.863795294156231e-09	9.480076803699175e-08	1.8780022937032108e-08
CHS	5.880089630676926e-09	0.00787751051909837	0.0027107020399223395
JPT	0.001711101456450685	2.163356543160174e-07	7.229736102215858e-09
KHV	5.138597408412941e-09	3.9228762731445293e-07	8.747117382766356e-07
CEU	3.6319377404870663e-09	2.396993835799961e-09	3.484312559124436e-10
FIN	7.470991414644659e-09	2.954394705185612e-09	3.6629477919703833e-10
GBR	2.574880051331763e-09	2.413396077606094e-09	4.1029921765247374e-10
IBS	3.5430040333695767e-09	2.2229844566711234e-09	3.11202938128716e-10
TSI	4.1376456919847174e-09	2.460882943111683e-09	3.531084687009402e-10
BEB	4.173739158157606e-09	5.440282439182263e-09	8.755622993679114e-10
GIH	3.1315825170059603e-09	3.8327884733316035e-09	6.604491094868481e-10
ITU	3.085841415640258e-09	3.1777452687826006e-09	5.542772086787692e-10
PJL	5.28943134781185e-09	3.737978330757766e-09	5.247709009433118e-10
STU	4.573723185794361e-09	3.6555074947671173e-09	5.61909754994245e-10
