	GBR	GBR_GIH	GIH
ACB	1.9610701509911772e-09	1.7203885671375766e-09	2.349432421756361e-09
ASW	2.2767623261018937e-09	1.081962861772969e-09	1.0730913516968484e-09
ESN	1.6701320771909394e-09	1.7280544486237026e-09	2.8163859534478426e-09
GWD	1.4889731704701975e-09	1.0070473230971263e-09	1.2804756111819594e-09
LWK	1.7792124698989404e-09	2.3307206829482017e-09	5.475328380114438e-09
MSL	1.8373505307446923e-09	1.5991256702523116e-09	1.8785288181931557e-09
YRI	1.6322759473267518e-09	1.482229335511589e-09	1.9878413456055083e-09
CLM	4.907075411097703e-09	5.685732075908762e-09	3.325530104034088e-07
MXL	0.01362024265512182	0.01110868372191724	1.7833531368862026e-08
PEL	1.909301861982223e-07	6.372452479040662e-09	3.65929337636036e-09
PUR	7.015083677980783e-09	3.7137236548122343e-09	3.826336339002489e-09
CDX	5.942405968958236e-09	2.2243625819447147e-09	1.0187724305711277e-09
CHB	2.5641713539205776e-08	9.518191990092692e-09	2.141289613773035e-09
CHS	7.880973394535624e-09	3.094357464604201e-09	1.5843200670554412e-09
JPT	0.007430271297940396	1.501295615585612e-08	1.7375471569589305e-09
KHV	5.677095350389938e-09	7.726352052945646e-09	4.218433729328755e-09
CEU	7.618507066233404e-09	1.6630970023093862e-08	6.545931433388947e-08
FIN	4.8952623447044255e-09	3.3174782468266815e-09	3.728640500008204e-09
GBR	0.9244372369493432	0.5055192750666623	0.02283160229603509
IBS	0.054511907221331535	6.1420698859039974e-09	2.5300778424314357e-09
TSI	4.5991586584962025e-08	0.028430419177190785	0.04272539536517816
BEB	5.121373119093967e-09	0.022280069408014486	0.014522684612590495
GIH	2.667838190317793e-09	0.2025860352511711	0.5073159271500386
ITU	8.263764354285253e-09	0.18015564199305673	0.1241696260485329
PJL	3.2321725786165416e-09	0.03383944067106474	0.1311017068008733
STU	3.4451652365054075e-09	0.016080344415245557	0.1573326005730786
