	PUR	PUR_CEU	CEU
ACB	1.74304401281163e-08	3.1804449231348394e-08	8.838168437644575e-09
ASW	0.009088718315140666	0.020451032830285848	3.383606200085452e-08
ESN	0.02641950852400028	3.592433920390319e-08	5.005026500319208e-09
GWD	2.1090248919179986e-08	4.136788449232257e-08	2.5962549757223457e-08
LWK	0.0015379175493159482	2.0088897231975377e-08	3.651083901757275e-09
MSL	3.439793050561657e-08	1.046618979631275e-08	2.693296931367875e-09
YRI	0.003052847409591586	2.792031721219963e-07	6.37332522124246e-08
CLM	4.199384438672032e-09	6.064609234289628e-09	5.8080538444542e-09
MXL	5.043048656415345e-09	3.5532403929751804e-09	4.659941162177325e-09
PEL	3.968073392329427e-09	1.6649796421195238e-09	1.6388886886834757e-09
PUR	0.9599008693196075	0.5286680211831035	5.240858790390243e-09
CDX	6.372404995878698e-09	1.627175293097236e-09	1.3099310750136545e-09
CHB	5.694502111048923e-09	1.6208939544986189e-09	1.4288012327200132e-09
CHS	4.045192169517308e-09	1.4075726255773282e-09	1.2129250218884434e-09
JPT	3.6306368043973054e-09	1.3920299543773982e-09	1.2920609521996663e-09
KHV	3.3500930390809426e-09	1.353368222625215e-09	1.2241162479125962e-09
CEU	3.203534301294349e-09	0.45088033829438673	0.9126221480234937
FIN	2.5157123417482697e-09	1.1712161123420914e-08	2.62501846992839e-07
GBR	2.737072502145839e-09	3.519600260639592e-08	0.0655105296585402
IBS	3.078119060846536e-09	2.149411425301138e-08	1.0841980516641507e-08
TSI	3.0814753362588473e-09	7.134933264126743e-08	0.01856815441383164
BEB	3.189933158016787e-09	4.460824184526644e-09	4.886663975123791e-09
GIH	3.024772405177435e-09	7.833075606171618e-09	0.003298653404262536
ITU	3.1944584176004795e-09	5.202793318537772e-09	4.555779344436636e-09
PJL	3.188072429210065e-09	7.612683822125517e-09	1.5666602062615226e-08
STU	2.444094510261703e-09	5.352765098173325e-09	4.84879658027411e-08
