	YRI	YRI_YRI	YRI
ACB	2.3133814099692715e-08	2.1994513936835225e-08	0.013580787169902507
ASW	2.053745903226859e-08	1.848436518630221e-08	0.0008875124864764105
ESN	4.2427739394879925e-08	1.0528201055603173e-07	0.03225629038843207
GWD	3.783586468920983e-08	6.772838359118139e-08	0.0003228086142161706
LWK	3.4015763713737356e-08	2.3839645355364017e-08	3.1810956772682975e-08
MSL	2.195363595252287e-08	1.3149343489512645e-08	2.697020669948234e-08
YRI	0.9999995815961154	0.9999996587083009	0.9529523896450107
CLM	1.887797913011029e-08	7.433384994591718e-09	9.1543877801372e-09
MXL	1.0976141967744452e-08	4.698496821745946e-09	8.132639478444487e-09
PEL	8.529451827980635e-09	3.3364935415248107e-09	6.192132652692165e-09
PUR	1.8110753578419685e-08	7.43916804669829e-09	8.414089039220951e-09
CDX	6.37101291068916e-09	2.885318029303628e-09	1.0305448131764203e-08
CHB	7.243459463799133e-09	2.9758556254297372e-09	7.68860628839973e-09
CHS	6.6723445903440485e-09	2.953933645025269e-09	9.785401491607738e-09
JPT	6.8411730065571356e-09	2.8246389368548646e-09	7.119645683556798e-09
KHV	6.801377986002301e-09	2.9402336749494587e-09	8.97307553926793e-09
CEU	1.8675330733387823e-08	6.318196380096894e-09	6.19288434281826e-09
FIN	1.4654519942288372e-08	5.5131952059507444e-09	6.4295906679704125e-09
GBR	9.704579617486098e-09	4.109319045462125e-09	6.991750756565958e-09
IBS	1.8828684259702827e-08	6.760498411029213e-09	7.482974473748153e-09
TSI	2.1321047903445283e-08	7.0119019961939885e-09	7.3533911805394085e-09
BEB	1.1150593804960431e-08	4.1953635796907735e-09	7.596326955792334e-09
GIH	1.5302131739499397e-08	4.764956562324766e-09	6.2185617386877586e-09
ITU	1.1010661641463773e-08	4.529589336278923e-09	9.265024417455438e-09
PJL	1.6094365104083338e-08	5.549928970060763e-09	1.0897912514108515e-08
STU	1.1390325654637911e-08	4.499185386438398e-09	8.7124195315223e-09
